Date,HomeTeam,AwayTeam,FTHG,FTAG,league_code,tm_code,home_club_id,home_club_name,away_club_id,away_club_name,tm_match_id,match_confidence,matches_found
2022-10-28,Shelbourne,Drogheda,6.0,0.0,IRL,IR1,,,,,,0,0
2022-12-27,Shenzhen,Guangzhou City,0.0,3.0,CHN,CSL,,,,,,0,4
2020-11-11,Shijiazhuang,Wuhan FC,1.0,2.0,CHN,CSL,,,,,,0,0
2022-12-29,Shrewsbury,Cheltenham,0.0,1.0,E2,GB3,,,,,,0,8
2022-12-29,Sivasspor,Galatasaray,1.0,2.0,T1,TR1,,,,,,0,0
2022-10-28,Sligo Rovers,St. Patricks,1.0,0.0,IRL,IR1,,,,,,0,0
2017-11-29,Sogndal,Ranheim,1.0,0.0,NOR,NO1,,,,,,0,0
2022-05-21,Sonderjyske,Viborg,0.0,2.0,DNK,DK1,,,,,,0,0
2013-06-03,Spartak Nalchik,Krylya Sovetov,2.0,5.0,RUS,RU1,,,,,,0,0
2022-11-06,St. Patricks,Shelbourne,4.0,0.0,IRL,IR1,,,,,,0,0
2021-05-29,St. Polten,A. Klagenfurt,0.0,1.0,AUT,A1,,,,,,0,0
2019-04-27,Stenhousemuir,East Fife,1.0,1.0,SC2,SC3,,,,,,0,0
2020-03-10,Stranraer,Montrose,0.0,1.0,SC2,SC3,,,,,,0,0
2022-10-20,TPS,Lahti,1.0,1.0,FIN,FI1,,,,,,0,0
2022-10-23,Talleres Cordoba,Gimnasia L.P.,2.0,1.0,ARG,ARG1,,,,,,0,0
2017-06-05,Targu Mures,Poli Iasi,1.0,1.0,ROU,RO1,,,,,,0,0
2018-05-06,Temperley,Patronato,1.0,2.0,ARG,ARG1,,,,,,0,0
2021-05-27,Thun,Sion,1.0,4.0,SWZ,C1,,,,,,0,0
2022-12-27,Tianjin Jinmen Tiger,Dalian Pro,0.0,3.0,CHN,CSL,,,,,,0,4
2022-10-25,Tigre,Arsenal Sarandi,1.0,4.0,ARG,ARG1,,,,,,0,0
2022-10-14,Tigres UANL,Pachuca,1.0,0.0,MEX,MEX1,,,,,,0,0
2022-10-28,Toluca,Pachuca,1.0,5.0,MEX,MEX1,,,,,,0,0
2019-06-02,Tomsk,Ufa,1.0,0.0,RUS,RU1,,,,,,0,0
2022-12-24,Trabzonspor,Fenerbahce,2.0,0.0,T1,TR1,,,,,,0,0
2021-11-03,Treaty United,UC Dublin,0.0,3.0,IRL,IR1,,,,,,0,0
2022-11-11,UC Dublin,Waterford,1.0,0.0,IRL,IR1,,,,,,0,0
2022-09-18,UNAM Pumas,Cruz Azul,1.0,2.0,MEX,MEX1,,,,,,0,2
2022-05-28,Ufa,Orenburg,1.0,2.0,RUS,RU1,,,,,,0,0
2012-11-21,Ull/Kisa,Sandnes,0.0,4.0,NOR,NO1,,,,,,0,0
2022-12-23,Umraniyespor,Buyuksehyr,1.0,3.0,T1,TR1,,,,,,0,0
2022-10-22,Union de Santa Fe,Central Cordoba,1.0,4.0,ARG,ARG1,,,,,,0,0
2022-10-26,VPS,Haka,0.0,3.0,FIN,FI1,,,,,,0,0
2022-11-13,Varberg,Oster,2.0,1.0,SWE,SE1,,,,,,0,0
2022-05-21,Vejle,Odense,2.0,1.0,DNK,DK1,,,,,,0,0
2022-10-25,Velez Sarsfield,Central Cordoba,3.0,1.0,ARG,ARG1,,,,,,0,0
2019-06-02,Vendsyssel,Lyngby,2.0,2.0,DNK,DK1,,,,,,0,0
2021-05-19,Viitorul Constanta,Astra,1.0,0.0,ROU,RO1,,,,,,0,0
2016-05-24,Volgar-Astrakhan,FK Anzi Makhackala,0.0,1.0,RUS,RU1,,,,,,0,0
2021-11-26,Waterford,UC Dublin,1.0,2.0,IRL,IR1,,,,,,0,0
2016-10-31,Wexford,Drogheda,2.0,0.0,IRL,IR1,,,,,,0,0
2020-07-11,Xanthi,Asteras Tripolis,1.0,2.0,G1,GR1,,,,,,0,0
2022-05-21,Yeni Malatyaspor,Fenerbahce,0.0,5.0,T1,TR1,,,,,,0,0
2020-11-18,Zhejiang Greentown,Wuhan FC,2.0,2.0,CHN,CSL,,,,,,0,0
